Johannes Thingnes B,Biathlon Men's 15 kilometres Mass Start
Johannes Thingnes B,Biathlon Men's 20 kilometres
Johannes Thingnes B,Biathlon Men's 4 x 7.5 kilometres Relay
Tarjei B,Biathlon Men's 20 kilometres
Tarjei B,Biathlon Men's 4 x 7.5 kilometres Relay
Tarjei B,Biathlon Men's 10 kilometres Sprint
Tarjei B,Biathlon Men's 12.5 kilometres Pursuit
Anette Be (-Libk-),Cross Country Skiing Women's 5 kilometres
Anette Be (-Libk-),Cross Country Skiing Women's 4 x 5 kilometres Relay
Anette Be (-Libk-),Cross Country Skiing Women's 20 kilometres
Valdemar Jensen Bggild,"Gymnastics Men's Team All-Around, Swedish System"
Hallstein Bgseth,Nordic Combined Men's Individual
Hallstein Bgseth,Nordic Combined Men's Team
Eilert Steensrud Bhm,"Gymnastics Men's Team All-Around, Free System"
Hvard Bkko,"Speed Skating Men's 1,500 metres"
Hvard Bkko,Speed Skating Men's Team Pursuit (8 laps)
Hvard Bkko,"Speed Skating Men's 1,000 metres"
Hvard Bkko,"Speed Skating Men's 5,000 metres"
Hvard Bkko,"Speed Skating Men's 10,000 metres"
Hege Bkko,"Speed Skating Women's 1,000 metres"
Hege Bkko,"Speed Skating Women's 1,500 metres"
Hege Bkko,Speed Skating Women's Team Pursuit (6 laps)
Alex Brger,"Wrestling Men's Flyweight, Greco-Roman"
Kim Brgesen,Rowing Men's Single Sculls
Lars Brgesen,Swimming Men's 100 metres Backstroke
Lars Brgesen,Swimming Men's 200 metres Backstroke
Reidar Kristoffer Brjeson,Figure Skating Mixed Pairs
Axel Ejnar Hakon Brresen,Art Competitions Mixed Music
Frederik Lindbg Brsting,Football Men's Football
Marinus Rasmussen Brup,Art Competitions Mixed Literature
Knut Tore Br,"Athletics Men's 5,000 metres"
Knut Tore Br,"Athletics Men's 10,000 metres"
Ib Btcher,Boxing Men's Welterweight
Tina Nielsen Bttzau (-Haunstrup),Handball Women's Handball
Trygve Carlsen Byesen,Gymnastics Men's Team All-Around
Trygve Carlsen Byesen,"Gymnastics Men's Team All-Around, Swedish System"
Trygve Carlsen Byesen,"Gymnastics Men's Team All-Around, Free System"
Oddvar Br,Cross Country Skiing Men's 15 kilometres
Oddvar Br,Cross Country Skiing Men's 4 x 10 kilometres Relay
Oddvar Br,Cross Country Skiing Men's 30 kilometres
Oddvar Br,Cross Country Skiing Men's 50 kilometres
Wilhelmus Theodorus Braams,Athletics Men's 5 mile
Wilhelmus Theodorus Braams,Athletics Men's Marathon
Wilhelmus Theodorus Braams,"Athletics Men's 3 mile, Team"
"Cornelia Margreta Maria ""Carla"" Braan (-Buijs)",Gymnastics Women's Individual All-Around
"Cornelia Margreta Maria ""Carla"" Braan (-Buijs)",Gymnastics Women's Team All-Around
"Cornelia Margreta Maria ""Carla"" Braan (-Buijs)",Gymnastics Women's Floor Exercise
"Cornelia Margreta Maria ""Carla"" Braan (-Buijs)",Gymnastics Women's Horse Vault
"Cornelia Margreta Maria ""Carla"" Braan (-Buijs)",Gymnastics Women's Uneven Bars
"Cornelia Margreta Maria ""Carla"" Braan (-Buijs)",Gymnastics Women's Balance Beam
Roel Hubertus Braas,Rowing Men's Coxed Eights
Roel Hubertus Braas,Rowing Men's Coxless Pairs
"Cornelius ""Cor"" Braasem",Water Polo Men's Water Polo
Floris Braat,"Canoeing Men's Kayak Singles, Slalom"
Kenneth Braaten,Nordic Combined Men's Team
"Julius Olaissen ""Jul"" Braathe (Olaissen-)","Shooting Men's Free Rifle, Three Positions, 300 metres, Team"
"Julius Olaissen ""Jul"" Braathe (Olaissen-)","Shooting Men's Free Rifle, Any Position, 300 metres"
"Julius Olaissen ""Jul"" Braathe (Olaissen-)","Shooting Men's Military Rifle, 1873-1874 Gras Model, Kneeling Or Standing, 200 metres"
"Julius Olaissen ""Jul"" Braathe (Olaissen-)","Shooting Men's Military Rifle, Kneeling Or Standing, 300 metres"
"Julius Olaissen ""Jul"" Braathe (Olaissen-)","Shooting Men's Free Rifle, Three Positions, 300 metres"
"Julius Olaissen ""Jul"" Braathe (Olaissen-)","Shooting Men's Military Rifle, Three Positions, 300 metres"
Helga Andersen Braathen,Gymnastics Women's Individual All-Around
Helga Andersen Braathen,Gymnastics Women's Team All-Around
Helga Andersen Braathen,Gymnastics Women's Floor Exercise
Helga Andersen Braathen,Gymnastics Women's Horse Vault
Helga Andersen Braathen,Gymnastics Women's Uneven Bars
Helga Andersen Braathen,Gymnastics Women's Balance Beam
"Jules Timothy ""Tim"" Brabants","Canoeing Men's Kayak Singles, 1,000 metres"
"Jules Timothy ""Tim"" Brabants","Canoeing Men's Kayak Singles, 500 metres"
Antonn Brabec,"Canoeing Men's Canadian Doubles, Slalom"
Jaroslav Brabec,Athletics Men's Shot Put
Wayne Donald Brabender Cole,Basketball Men's Basketball
Kamil Brabenec,Basketball Men's Basketball
Diane Rene Bracalente (-Molinaro),Hockey Women's Hockey
Marco Bracci,Volleyball Men's Volleyball
Renato Bracci,Rowing Men's Coxed Eights
Daniele Bracciali,Tennis Mixed Doubles
Daniele Bracciali,Tennis Men's Doubles
"Steven ""Steve"" Brace",Athletics Men's Marathon
Frederick William Bracegirdle,"Shooting Men's Small-Bore Rifle, Prone, 50 metres"
Diane Braceland (-Vreugdenhil),Rowing Women's Double Sculls
Albert Bracero Chvere,Baseball Men's Baseball
Jorge Bracero,"Shooting Men's Small-Bore Rifle, Prone, 50 metres"
Julia Helen Bracewell,"Fencing Women's Foil, Individual"
Julia Helen Bracewell,"Fencing Women's Foil, Team"
"Claude Odell Bracey, Jr.",Athletics Men's 100 metres
Josu Brachi Garca,Weightlifting Men's Bantamweight
Patrick Brachner,Alpine Skiing Men's Giant Slalom
Patrick Brachner,Alpine Skiing Men's Slalom
Charles-Victor Bracht,Alpine Skiing Men's Combined
Rudolf Brack,Swimming Men's 200 metres Breaststroke
Walter Brack,Swimming Men's 100 Yard Backstroke
Walter Brack,Swimming Men's 440 Yard Breaststroke
Kevin M. Bracken,"Wrestling Men's Lightweight, Greco-Roman"
"Raymond Cope ""Ray"" Bracken","Shooting Men's Free Pistol, 50 metres"
"Raymond Cope ""Ray"" Bracken","Shooting Men's Free Pistol, 50 metres, Team"
"Raymond Cope ""Ray"" Bracken","Shooting Men's Military Pistol, 30 metres"
Marian Brackenridge,"Art Competitions Mixed Sculpturing, Unknown Event"
Carlos E. Braconi,"Wrestling Men's Super-Heavyweight, Greco-Roman"
Carlos E. Braconi,"Wrestling Men's Super-Heavyweight, Freestyle"
Joo Jos Bracony,Sailing Mixed Two Person Keelboat
pela Braun (-Vnuk),Alpine Skiing Women's Downhill
pela Braun (-Vnuk),Alpine Skiing Women's Super G
Marvin Bracy,Athletics Men's 100 metres
Vra Bradov,Athletics Women's High Jump
Julie Jane Bradbury,Badminton Women's Doubles
Julie Jane Bradbury,Badminton Mixed Doubles
Steven John Bradbury,Short Track Speed Skating Men's 500 metres
Steven John Bradbury,"Short Track Speed Skating Men's 1,000 metres"
Steven John Bradbury,"Short Track Speed Skating Men's 5,000 metres Relay"
Steven John Bradbury,"Short Track Speed Skating Men's 1,500 metres"
Luc Bradet,Figure Skating Mixed Pairs
"Kenneth Alexander ""Ken"" Bradfield",Sailing Mixed 6 metres
Colin Bradford,Athletics Men's 100 metres
Colin Bradford,Athletics Men's 200 metres
Colin Bradford,Athletics Men's 4 x 400 metres Relay
Colin Bradford,Athletics Men's 4 x 100 metres Relay
"James Edward ""Jim"" Bradford",Weightlifting Men's Heavyweight
Rebekah Dianne Bradford,"Speed Skating Women's 1,000 metres"
Vincent Hayden Senser Bradford,"Fencing Women's Foil, Individual"
Vincent Hayden Senser Bradford,"Fencing Women's Foil, Team"
William Brooks Bradford,"Equestrianism Men's Jumping, Individual"
William Brooks Bradford,"Equestrianism Men's Jumping, Team"
"Josef ""Sepp"" Bradl","Ski Jumping Men's Normal Hill, Individual"
Hans-Jrgen Bradler,Football Men's Football
Alison Bradley,Softball Women's Softball
Amber Bradley,Rowing Women's Quadruple Sculls
"William Warren ""Bill"" Bradley",Basketball Men's Basketball
"William ""Bill"" Bradley","Cycling Men's Road Race, Individual"
"William ""Bill"" Bradley",Cycling Men's 100 kilometres Team Time Trial
"William Robert ""Bob"" Bradley",Boxing Men's Middleweight
Brian Richard Walter Bradley,Ice Hockey Men's Ice Hockey
Myron Bruce Bradley,Water Polo Men's Water Polo
Elizabeth Bradley,Rowing Women's Coxed Fours
Everett Lewis Bradley,Athletics Men's Pentathlon
Michael Sheehan Bradley,Football Men's Football
Sophie Elizabeth Bradley,Football Women's Football
Stephen Shelton Bradley,"Equestrianism Mixed Three-Day Event, Individual"
Stephen Shelton Bradley,"Equestrianism Mixed Three-Day Event, Team"
Tami Bradley,Freestyle Skiing Women's Moguls
"Susan Elaine ""Sue"" Bradley-Kameli",Athletics Women's 100 metres Hurdles
Ann Patricia Mary Bradshaw,Swimming Women's 200 metres Freestyle
Ann Patricia Mary Bradshaw,Swimming Women's 4 x 100 metres Freestyle Relay
Ann Patricia Mary Bradshaw,Swimming Women's 400 metres Individual Medley
"Benjamin Joseph ""Ben"" Bradshaw","Wrestling Men's Featherweight, Freestyle"
Craig Bradshaw,Basketball Men's Basketball
George A. Bradshaw,"Wrestling Men's Middleweight, Greco-Roman"
George A. Bradshaw,"Wrestling Men's Middleweight, Freestyle"
Kevin Bradshaw,"Cycling Men's Road Race, Individual"
Kevin Bradshaw,Cycling Men's 100 kilometres Team Time Trial
Mark Daniel Bradshaw,Diving Men's Springboard
Robyn Jean Bradshaw (-Arlow),Diving Women's Springboard
Robyn Jean Bradshaw (-Arlow),Diving Women's Platform
Arne Roald Bradstock,Athletics Men's Javelin Throw
"Marcus Robert ""Mark"" Bradtke",Basketball Men's Basketball
Brookner West Brady,Modern Pentathlon Men's Individual
Gavin John Brady,Sailing Mixed Two Person Keelboat
"Patrick Gerard ""Gerry"" Brady",Shooting Mixed Skeet
"Patrick Gerard ""Gerry"" Brady",Shooting Mixed Trap
James S. Brady,Water Polo Men's Water Polo
"James H. ""Jim"" Brady",Sailing Mixed Three Person Keelboat
Joseph J. Brady,Football Men's Football
"Rhonda Arnetta Brady (-Gilles, -Anderson)",Athletics Women's 100 metres Hurdles
"Hippolyte ""Pol"" Braekman",Athletics Men's 100 metres
"Hippolyte ""Pol"" Braekman",Athletics Men's 110 metres Hurdles
"Hippolyte ""Pol"" Braekman",Athletics Men's 4 x 100 metres Relay
Eduard Braesecke,Athletics Men's Marathon
Alberto Pereira Braga,"Shooting Men's Free Rifle, Three Positions, 300 metres"
Antnio Carlos Braga,Sailing Mixed Two Person Heavyweight Dinghy
Jair Braga,Cycling Men's 100 kilometres Team Time Trial
Manoel Marques da Costa Braga,"Shooting Men's Small-Bore Rifle, Prone, 50 metres"
Milton Jorge Machado Braga,Diving Men's Platform
Milton Jorge Machado Braga,Diving Men's Springboard
Antonella Bragaglia,Volleyball Women's Volleyball
Rui Pedro Rebelo Bragana,Taekwondo Men's Flyweight
Mathieu Bragard,Football Men's Football
Yvonne Viola Brage (-Wernersson),Swimming Women's 100 metres Breaststroke
Yvonne Viola Brage (-Wernersson),Swimming Women's 200 metres Breaststroke
"Arthur George ""Art"" Bragg",Athletics Men's 100 metres
"Donald George ""Don"" Bragg",Athletics Men's Pole Vault
Rachel Emily Bragg,Volleyball Women's Volleyball
Anita Brgger (-Belz),Athletics Women's 800 metres
Pablo Dominic Brgger,Gymnastics Men's Individual All-Around
Pablo Dominic Brgger,Gymnastics Men's Team All-Around
Pablo Dominic Brgger,Gymnastics Men's Floor Exercise
Pablo Dominic Brgger,Gymnastics Men's Parallel Bars
Pablo Dominic Brgger,Gymnastics Men's Horizontal Bar
Pablo Dominic Brgger,Gymnastics Men's Rings
Pablo Dominic Brgger,Gymnastics Men's Pommelled Horse
Lyudmila Ivanovna Bragina,"Athletics Women's 1,500 metres"
G. Alberto Braglia,Gymnastics Men's Individual All-Around
G. Alberto Braglia,"Gymnastics Men's Individual All-Around, 5 Events"
G. Alberto Braglia,Gymnastics Men's Team All-Around
Yevgeny Nikolayevich Brago,Rowing Men's Coxed Eights
Samir Brahimi,Boxing Men's Flyweight
Charles M Brahm,"Canoeing Men's Kayak Doubles, 10,000 metres"
"Terrence Paul ""Terry"" Brahm","Athletics Men's 5,000 metres"
Azzedine Brahmi,"Athletics Men's 3,000 metres Steeplechase"
Alan Brahmst,Hockey Men's Hockey
J. Braid,Cricket Men's Cricket
Marco Braida,Swimming Men's 100 metres Butterfly
Marco Braida,Swimming Men's 200 metres Butterfly
Luca Braidot,"Cycling Men's Mountainbike, Cross-Country"
Yevgeny Iosifovich Brailovsky,Freestyle Skiing Men's Aerials
Ibrahim Tanko Braimah,Athletics Men's 200 metres
Ibrahim Tanko Braimah,Athletics Men's 4 x 100 metres Relay
Liasu Braimoh,Boxing Men's Light-Welterweight
Dereck Hayden Brain,Hockey Men's Hockey
Marilyn Brain (-Campbell),Rowing Women's Coxed Fours
Matas Jorge Brain Pea,Triathlon Men's Olympic Distance
Paul Anthony Brain,"Canoeing Men's Canadian Doubles, Slalom"
Stewart Brain,Judo Men's Lightweight
Edmond Pierre Ernest Braine,Football Men's Football
Raymond Ernest Michel Braine,Football Men's Football
Oscar Ren Braison Vidal,Judo Men's Heavyweight
"John Robert ""Bob"" Braithwaite",Shooting Men's Trap
"John Robert ""Bob"" Braithwaite",Shooting Mixed Trap
Darren Devere Braithwaite,Athletics Men's 100 metres
Darren Devere Braithwaite,Athletics Men's 4 x 100 metres Relay
Michael Braithwaite,Rowing Men's Double Sculls
Stedroy Franklin Braithwaite,Sailing Men's One Person Dinghy
Janez Brajkovi,"Cycling Men's Road Race, Individual"
Janez Brajkovi,Cycling Men's Individual Time Trial
Marko Brajnovi,Water Polo Men's Water Polo
Ali Brakchi,Athletics Men's Long Jump
Michael Brake,Rowing Men's Coxed Eights
Jeanette Brakewell,"Equestrianism Mixed Three-Day Event, Team"
Jeanette Brakewell,"Equestrianism Mixed Three-Day Event, Individual"
"Robert ""Rob"" Braknis",Swimming Men's 100 metres Backstroke
"Robert ""Rob"" Braknis",Swimming Men's 4 x 100 metres Medley Relay
Jovana Brakoevi-Kancian,Volleyball Women's Volleyball
Ricardo Armando Bralo Gil,"Athletics Men's 10,000 metres"
Eike Bram,Handball Women's Handball
Ian Bramall,"Fencing Men's epee, Team"
Leonie Elizabeth Bramall,"Equestrianism Mixed Dressage, Individual"
Leonie Elizabeth Bramall,"Equestrianism Mixed Dressage, Team"
Luca Riccardo Bramati,"Cycling Men's Mountainbike, Cross-Country"
Lisa Brambani,"Cycling Women's Road Race, Individual"
Massimo Brambati,Football Men's Football
Iain Brambell,Rowing Men's Lightweight Coxless Fours
Diego Alberto Brambilla,Judo Men's Lightweight
Emilio Brambilla,Athletics Men's Standing Long Jump
Emilio Brambilla,Athletics Men's Pentathlon (Ancient)
Emilio Brambilla,Athletics Men's 200 metres
Emilio Brambilla,"Athletics Men's Javelin Throw, Freestyle"
Massimo Brambilla,Football Men's Football
Katie Brambley,Swimming Women's 4 x 200 metres Freestyle Relay
Eva Maria Brambck-Dollinger,Triathlon Women's Olympic Distance
Herbert Bramfeld,Modern Pentathlon Men's Individual
Norbert Brami,"Fencing Men's Foil, Individual"
Norbert Brami,"Fencing Men's epee, Individual"
Giovanni Bramucci,"Cycling Men's Road Race, Individual"
Giovanni Bramucci,Cycling Men's 100 kilometres Team Time Trial
Grant Digby Bramwell,"Canoeing Men's Kayak Fours, 1,000 metres"
Joel Aroldo Bran lvarez,Weightlifting Men's Super-Heavyweight
Mario Alfonso Bran Granillo,Athletics Men's 50 kilometres Walk
Nicole Christine Branagh,Beach Volleyball Women's Beach Volleyball
"Maria Anglica ""Branca"" Gonalves da Silva",Basketball Women's Basketball
Marco Branca,Football Men's Football
Chiara Ines Brancati,Water Polo Women's Water Polo
Craig Branch,Alpine Skiing Men's Downhill
Craig Branch,Alpine Skiing Men's Super G
Craig Branch,Alpine Skiing Men's Combined
Laura Branchaud,Hockey Women's Hockey
George Branche,Athletics Men's 800 metres
George Branche,"Athletics Men's 1,500 metres"
George Branche,Athletics Men's 4 x 400 metres Relay
Carlos Castello Branco,Rowing Men's Double Sculls
Carlos Castello Branco,Water Polo Men's Water Polo
Cristina Direito Branco,Handball Women's Handball
Edmundo Castello Branco,Rowing Men's Double Sculls
Jos Antnio Branco,Judo Men's Half-Lightweight
Serge Branco,Football Men's Football
Karen Patricia  Brancourt (-Pollock),Rowing Women's Coxed Fours
Charles William Brand,Water Polo Men's Water Polo
Colette Brand (-Roth),Freestyle Skiing Women's Aerials
"Daniel Oliver ""Dan"" Brand","Wrestling Men's Light-Heavyweight, Freestyle"
"Daniel Oliver ""Dan"" Brand","Wrestling Men's Middleweight, Freestyle"
Esther Cornelia Brand (van Heerden-),Athletics Women's High Jump
Esther Cornelia Brand (van Heerden-),Athletics Women's Discus Throw
Glen Jenson Brand,"Wrestling Men's Middleweight, Freestyle"
Heather Brand,Swimming Women's 100 metres Butterfly
Heiner Brand,Handball Men's Handball
Ilona Brand (-Oeckel),Luge Women's Singles
Isabel Brand Leu,Modern Pentathlon Women's Individual
"John ""Jack"" Brand",Football Men's Football
"Johannes Willem ""Jan"" Brand",Hockey Men's Hockey
Roland Brand,Handball Men's Handball
Steffen Brand,"Athletics Men's 3,000 metres Steeplechase"
"Jos ""Brando"" Cndido de Campos",Football Men's Football
Ablio Antnio Gonalves Brando,"Shooting Men's Small-Bore Rifle, Prone, 50 metres"
Agnieszka Brandebura,Rhythmic Gymnastics Women's Individual
Nicole Brandebusemeyer,Football Women's Football
Ivan Brandejs,Sailing Mixed Two Person Heavyweight Dinghy
Vclav Brandejs,Sailing Mixed Two Person Heavyweight Dinghy
Jules Brandeleer,Water Polo Men's Water Polo
Bert Mikael Brandn,Swimming Men's 100 metres Backstroke
Bert Mikael Brandn,Swimming Men's 4 x 100 metres Medley Relay
Hans Brandenberger,"Art Competitions Mixed Sculpturing, Statues"
Will Brandenburg,Alpine Skiing Men's Combined
Peter Brander,Boxing Men's Featherweight
Karin Brandes,Swimming Women's 100 metres Butterfly
Karin Brandes,Swimming Women's 200 metres Individual Medley
Karin Brandes,Swimming Women's 400 metres Individual Medley
Friedrich Wilhelm Brandes,"Rowing Men's Coxed Fours, Inriggers"
Cristian Alberto Brandi,Tennis Men's Doubles
Jen Brandi (Brandeiski),Water Polo Men's Water Polo
Kristina Marie Brandi,Tennis Women's Singles
Piero Brandi,Boxing Men's Light-Welterweight
Maria Helene Brandin,Rowing Women's Double Sculls
Maria Helene Brandin,Rowing Women's Single Sculls
Alexander Brandl,Swimming Men's 100 metres Butterfly
Alexander Brandl,Swimming Men's 200 metres Butterfly
David Karl Brandl,Swimming Men's 400 metres Freestyle
David Karl Brandl,Swimming Men's 4 x 200 metres Freestyle Relay
David Karl Brandl,Swimming Men's 200 metres Freestyle
Karl Brandl,Hockey Men's Hockey
Nadine Brandl,Synchronized Swimming Women's Duet
Thomas Brandl,Ice Hockey Men's Ice Hockey
Nicole Brndli-Sedoun,"Cycling Women's Road Race, Individual"
Nicole Brndli-Sedoun,Cycling Women's Individual Time Trial
Christoph Brandner,Ice Hockey Men's Ice Hockey
Hans Brandner,Luge Mixed (Men)'s Doubles
Oscar Brandon,Badminton Men's Singles
Terry Michael Brands,"Wrestling Men's Featherweight, Freestyle"
"Thomas Nelson ""Tom"" Brands, II","Wrestling Men's Featherweight, Freestyle"
Eirik Brandsdal,Cross Country Skiing Men's Sprint
Odd Arne Brandsegg,"Ski Jumping Men's Normal Hill, Individual"
Odd Arne Brandsegg,"Ski Jumping Men's Large Hill, Individual"
Jacob Brandsma,Rowing Men's Coxed Fours
"Johannes Adrianus ""Jo"" Brandsma",Rowing Men's Coxed Fours
"Johann ""Hans"" Brandsttter","Fencing Men's Sabre, Individual"
"Johann ""Hans"" Brandsttter","Fencing Men's Sabre, Team"
Karel Brandsttter,Rowing Men's Coxed Eights
Ernst Magnus Brandsten,Diving Men's Springboard
Ernst Magnus Brandsten,Diving Men's Platform
Ernst Magnus Brandsten,Diving Men's Plain High
"Josef ""Seppl"" Brandstetter",Football Men's Football
Alf Ingmar Brandt,Athletics Men's 20 kilometres Walk
Bernard Brandt,Freestyle Skiing Men's Moguls
Christophe Brandt,"Cycling Men's Road Race, Individual"
Dorothea Brandt,Swimming Women's 50 metres Freestyle
Franois Antoine Brandt,Rowing Men's Coxed Pairs
Franois Antoine Brandt,Rowing Men's Coxed Eights
Heinz Brandt,"Equestrianism Men's Jumping, Individual"
Heinz Brandt,"Equestrianism Men's Jumping, Team"
"John George Brandt, Jr.",Golf Men's Individual
Julian Brandt,Football Men's Football
Karsten Brandt,Cross Country Skiing Men's 15 kilometres
Karsten Brandt,Cross Country Skiing Men's 30 kilometres
Karsten Brandt,Cross Country Skiing Men's 4 x 10 kilometres Relay
Carl Michael Christopher Brandt,Modern Pentathlon Men's Individual
Olaf Brandt,"Wrestling Men's Flyweight, Greco-Roman"
Per Erik Brandt,Biathlon Men's 10 kilometres Sprint
Per Erik Brandt,Biathlon Men's 20 kilometres
Per Erik Brandt,Biathlon Men's 4 x 7.5 kilometres Relay
Peter Augustus Brandt,Rowing Men's Double Sculls
Rollo Christopher Brandt,Bobsleigh Men's Four
"Friedrich Wilhelm ""Fritz"" Brandtner","Art Competitions Mixed Painting, Paintings"
Torgeir Torbjrn Brandtzg,"Ski Jumping Men's Normal Hill, Individual"
Torgeir Torbjrn Brandtzg,"Ski Jumping Men's Large Hill, Individual"
Giampiero Branduardi,Ice Hockey Men's Ice Hockey
Anna Elbieta Brandysiewicz (-Rekosz),Rowing Women's Coxed Eights
Carlos Braniff Corneso,Sailing Mixed Two Person Keelboat
Carlos Braniff Corneso,Sailing Mixed 5.5 metres
Lszl Branikovits,Football Men's Football
Plamen Brankov,Water Polo Men's Water Polo
Slobodan Brankovi,Athletics Men's 400 metres
Slobodan Brankovi,Athletics Men's 4 x 400 metres Relay
Tadeja Brankovi (-Likozar),Biathlon Women's 7.5 kilometres Sprint
Tadeja Brankovi (-Likozar),Biathlon Women's 15 kilometres
Tadeja Brankovi (-Likozar),Biathlon Women's 4 x 7.5 kilometres Relay
Tadeja Brankovi (-Likozar),Biathlon Women's 10 kilometres Pursuit
Tadeja Brankovi (-Likozar),Biathlon Women's 4 x 6 kilometres Relay
Karsten Brannasch,Bobsleigh Men's Four
"Nathan ""Nate"" Brannen","Athletics Men's 1,500 metres"
John Kennedy Branner,"Art Competitions Mixed Architecture, Designs For Town Planning"
Regina Branner (-Egger),Athletics Women's Shot Put
Ann Brannon,"Fencing Women's Foil, Individual"
Ann Brannon,"Fencing Women's Foil, Team"
Hege Brannsten,"Canoeing Women's Kayak Doubles, 500 metres"
Hege Brannsten,"Canoeing Women's Kayak Fours, 500 metres"
Gsta Martin Brnnstrm,Athletics Men's 400 metres
Gsta Martin Brnnstrm,Athletics Men's 4 x 400 metres Relay
Bernd Bransch,Football Men's Football
Georg Branting,"Fencing Men's epee, Individual"
Georg Branting,"Fencing Men's epee, Team"
Kurt Harald Irenss Branting,Athletics Men's 4 x 100 metres Relay
Keith Alan Brantly,Athletics Men's Marathon
Mara Branz,Sailing Women's Skiff
Ana Maria Florentina Brnz-Popescu,"Fencing Women's epee, Individual"
Ana Maria Florentina Brnz-Popescu,"Fencing Women's epee, Team"
Boycho Branzov,Basketball Men's Basketball
Alfredo Jos Jernimo Brs,"Athletics Men's 10,000 metres"
"Martinus Rokes ""Mart"" Bras",Water Polo Men's Water Polo
Ernst Konrad Otto Brasche,Sailing Mixed 10 metres
Rodolfo Braselli,Basketball Men's Basketball
Julius Helmut Braselmann,Handball Men's Handball
Patrice Brasey,Ice Hockey Men's Ice Hockey
Scott Brash,"Equestrianism Mixed Jumping, Individual"
Scott Brash,"Equestrianism Mixed Jumping, Team"
"Christopher William ""Chris"" Brasher","Athletics Men's 3,000 metres Steeplechase"
Rossano Francesco Brasi,"Cycling Men's Team Pursuit, 4,000 metres"
Bent Brask,Swimming Men's 4 x 200 metres Freestyle Relay
Yevhen Anatoliyovych Braslavets,Sailing Men's Two Person Dinghy
"Adrianus Jacobus ""Janus"" Braspennincx","Cycling Men's Road Race, Individual"
"Adrianus Jacobus ""Janus"" Braspennincx","Cycling Men's Road Race, Team"
"Adrianus Jacobus ""Janus"" Braspennincx","Cycling Men's Team Pursuit, 4,000 metres"
J. Brassard,"Fencing Men's Foil, Masters, Individual"
J. Brassard,"Fencing Men's epee, Masters, Individual"
Jean-Luc Brassard,Freestyle Skiing Men's Moguls
Claudia Melati Brassard-Riebesehl,Basketball Women's Basketball
Govert Jacob Willem Brasser,Sailing Mixed Multihull
"Reindert Johannes ""Jan"" Brasser",Athletics Men's High Jump
"Reindert Johannes ""Jan"" Brasser",Athletics Men's Decathlon
Henri Brasseur,"Fencing Men's Sabre, Individual"
Henri Brasseur,"Fencing Men's Sabre, Team"
Isabelle Brasseur (-Marval),Figure Skating Mixed Pairs
Rene Brasseur,Swimming Women's 100 metres Backstroke
Yves Brasseur,"Fencing Men's Sabre, Individual"
Jean-Albert Brasu,"Equestrianism Mixed Dressage, Individual"
Jean-Albert Brasu,"Equestrianism Mixed Dressage, Team"
Daniel Brata,Judo Men's Half-Heavyweight
Alexandru Bratan,Weightlifting Men's Heavyweight
Eugen Bratan,Weightlifting Men's Middle-Heavyweight
"Velichko ""Velko"" Bratanov",Modern Pentathlon Men's Individual
"Velichko ""Velko"" Bratanov",Modern Pentathlon Men's Team
Yanko Ivanov Bratanov,Athletics Men's 400 metres Hurdles
Gjermund Brten,Snowboarding Men's Slopestyle
Steinar Brten (-Braaten),"Ski Jumping Men's Normal Hill, Individual"
ystein Brten,Freestyle Skiing Men's Slopestyle
Stein Brthen,"Cycling Men's Road Race, Individual"
Stein Brthen,Cycling Men's 100 kilometres Team Time Trial
"Christopher Anthony ""Chris"" Brathwaite",Athletics Men's 100 metres
"Christopher Anthony ""Chris"" Brathwaite",Athletics Men's 4 x 100 metres Relay
"Christopher Anthony ""Chris"" Brathwaite",Athletics Men's 200 metres
Ryan Brathwaite,Athletics Men's 110 metres Hurdles
Shane Brathwaite,Athletics Men's 110 metres Hurdles
Georgi Sashkov Bratoev,Volleyball Men's Volleyball
Valentin Sashkov Bratoev,Volleyball Men's Volleyball
Plamen Bratoychev,Weightlifting Men's Light-Heavyweight
Plamen Bratoychev,Weightlifting Men's Middle-Heavyweight
Lisen Nina Magdalena Bratt (-Fredricson),"Equestrianism Mixed Jumping, Individual"
Lisen Nina Magdalena Bratt (-Fredricson),"Equestrianism Mixed Jumping, Team"
David Hey Bratton,Water Polo Men's Water Polo
David Hey Bratton,Swimming Men's 4 x 50 Yard Freestyle Relay
Aurel Bratu,"Fencing Men's epee, Individual"
Aurel Bratu,"Fencing Men's epee, Team"
Neagu Bratu,"Shooting Men's Free Pistol, 50 metres"
Neagu Bratu,"Shooting Mixed Free Pistol, 50 metres"
Brau,"Fencing Men's Foil, Masters, Individual"
Ursula Brauch,Rowing Women's Single Sculls
Yannick Brauchli,Sailing Men's Two Person Dinghy
"Kenneth Richard ""Ken"" Brauckmiller",Baseball Men's Baseball
Franois Braud,Nordic Combined Men's Team
Franois Braud,Nordic Combined Men's Individual
Franois Braud,"Nordic Combined Men's Normal Hill / 10 km, Individual"
Franois Braud,"Nordic Combined Men's Large Hill / 10 km, Individual"
Martin Braud,"Canoeing Men's Canadian Doubles, Slalom"
"Jonathon ""Jono"" Brauer",Alpine Skiing Men's Slalom
"Jonathon ""Jono"" Brauer",Alpine Skiing Men's Combined
"Jonathon ""Jono"" Brauer",Alpine Skiing Men's Downhill
"Jonathon ""Jono"" Brauer",Alpine Skiing Men's Super G
