Biathlon,Biathlon Women's 12.5 kilometres Mass Start
Biathlon,Biathlon Women's 4 x 6 kilometres Relay
Fencing,"Fencing Women's Sabre, Team"
Shooting,Shooting Men's Double Trap
Weightlifting,Weightlifting Men's Bantamweight
Taekwondo,Taekwondo Men's Heavyweight
Sailing,Sailing Mixed Windsurfer
Taekwondo,Taekwondo Women's Welterweight
Shooting,"Shooting Mixed Free Rifle, Three Positions, 300 metres"
Skeleton,Skeleton Men's Skeleton
Cycling,Cycling Men's 50 kilometres
Shooting,"Shooting Mixed Rapid-Fire Pistol, 25 metres"
Cycling,Cycling Men's 333 metres Time Trial
Cycling,Cycling Men's 20 kilometres
Canoeing,"Canoeing Men's Kayak Singles, 10,000 metres"
Sailing,Sailing Mixed Open
Sailing,Sailing Mixed 1-2 Ton
Canoeing,"Canoeing Men's Canadian Singles, Slalom"
Luge,Luge Men's Singles
Luge,Luge Mixed (Men)'s Doubles
Sailing,Sailing Mixed Multihull
Badminton,Badminton Women's Doubles
Speed Skating,"Speed Skating Women's 3,000 metres"
Cross Country Skiing,Cross Country Skiing Women's 5/10 kilometres Pursuit
Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay
Cross Country Skiing,Cross Country Skiing Women's 15 kilometres
Cross Country Skiing,Cross Country Skiing Women's 5/5 kilometres Pursuit
Diving,Diving Women's Synchronized Platform
Athletics,Athletics Women's Triple Jump
Skeleton,Skeleton Women's Skeleton
Bobsleigh,Bobsleigh Men's Four/Five
Art Competitions,"Art Competitions Mixed Painting, Drawings And Water Colors"
Shooting,"Shooting Men's Dueling Pistol, 30 metres"
Boxing,Boxing Women's Lightweight
Cycling,Cycling Women's BMX
Canoeing,"Canoeing Men's Kayak Doubles, 200 metres"
Fencing,"Fencing Men's Sabre, Masters, Individual"
Lacrosse,Lacrosse Men's Lacrosse
Canoeing,"Canoeing Women's Kayak Singles, 500 metres"
Athletics,Athletics Women's 10 kilometres Walk
Sailing,Sailing Mixed 12 metres
Judo,Judo Women's Extra-Lightweight
Diving,Diving Men's Synchronized Springboard
Rowing,"Rowing Men's Coxed Fours, Outriggers"
Gymnastics,Gymnastics Men's Rope Climbing
Sailing,Sailing Mixed Two Person Dinghy
Art Competitions,"Art Competitions Mixed Architecture, Unknown Event"
Archery,"Archery Men's Target Archery, 28 metres, Team"
Archery,"Archery Men's Target Archery, 33 metres, Team"
Archery,"Archery Men's Target Archery, 50 metres, Team"
Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay"
Freestyle Skiing,Freestyle Skiing Women's Moguls
Short Track Speed Skating,Short Track Speed Skating Men's 500 metres
Shooting,"Shooting Men's Running Target, 10 metres"
Polo,Polo Men's Polo
Rowing,"Rowing Men's Coxed Fours, Inriggers"
Cycling,Cycling Men's BMX
Art Competitions,Art Competitions Mixed Sculpturing
Athletics,"Athletics Men's Cross-Country, Individual"
Athletics,"Athletics Men's Cross-Country, Team"
Sailing,Sailing Mixed 40 metres
Cross Country Skiing,Cross Country Skiing Men's 10/10 kilometres Pursuit
Ski Jumping,"Ski Jumping Women's Normal Hill, Individual"
Short Track Speed Skating,"Short Track Speed Skating Men's 1,000 metres"
Short Track Speed Skating,"Short Track Speed Skating Men's 1,500 metres"
Gymnastics,Gymnastics Men's Club Swinging
Tennis,Tennis Women's Singles
Tennis,Tennis Mixed Doubles
Tennis,Tennis Women's Doubles
Judo,Judo Women's Middleweight
Judo,Judo Women's Lightweight
Cross Country Skiing,Cross Country Skiing Men's Team Sprint
Snowboarding,Snowboarding Women's Halfpipe
Canoeing,"Canoeing Women's Kayak Singles, 200 metres"
Canoeing,Canoeing Men's Kayak Relay 4 x 500 metres
Athletics,"Athletics Men's 3,000 metres, Team"
Cross Country Skiing,Cross Country Skiing Women's Sprint
Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 and 100 yards"
Shooting,"Shooting Men's Small-Bore Rifle, 50 and 100 yards, Team"
Shooting,"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 yards"
Shooting,"Shooting Men's Small-Bore Rifle, Moving Target, 25 yards"
Shooting,"Shooting Men's Military Pistol, Team"
Rowing,Rowing Women's Coxed Fours
Weightlifting,"Weightlifting Men's Unlimited, One Hand"
Canoeing,"Canoeing Men's Canadian Singles, 500 metres"
Fencing,"Fencing Men's Foil, Masters, Individual"
Fencing,"Fencing Men's epee, Masters, Individual"
Gymnastics,"Gymnastics Men's Individual All-Around, Field Sports"
Gymnastics,"Gymnastics Men's Individual All-Around, Apparatus Work"
Art Competitions,"Art Competitions Mixed Music, Compositions For Solo Or Chorus"
Fencing,"Fencing Women's epee, Team"
Swimming,"Swimming Men's 4,000 metres Freestyle"
Swimming,Swimming Men's Underwater Swimming
Sailing,Sailing Mixed Skiff
Shooting,"Shooting Men's Military Rifle, 200/500/600/800/900/1,000 Yards, Team"
Shooting,"Shooting Men's Running Target, Single And Double Shot"
Shooting,"Shooting Men's Small-Bore Rifle, Any Position, 50 metres"
Shooting,"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 metres"
Swimming,Swimming Women's 10 kilometres Open Water
Snowboarding,Snowboarding Women's Slopestyle
Snowboarding,Snowboarding Men's Giant Slalom
Snowboarding,Snowboarding Men's Parallel Giant Slalom
Snowboarding,Snowboarding Men's Boardercross
Snowboarding,Snowboarding Men's Parallel Slalom
Cycling,"Cycling Men's Team Pursuit, 1,980 yards"
Cycling,"Cycling Men's 5,000 metres"
Cycling,Cycling Men's 100 kilometres
Cricket,Cricket Men's Cricket
Canoeing,"Canoeing Men's Canadian Singles, 10,000 metres"
Cross Country Skiing,Cross Country Skiing Women's Team Sprint
Boxing,Boxing Women's Middleweight
Sailing,Sailing Men's Skiff
Athletics,Athletics Men's Pentathlon
Swimming,"Swimming Men's 1,200 metres Freestyle"
Shooting,Shooting Women's Skeet
